country,acronym,population,production-based_PDF,PDF_footprint,net_importer,percapite_production_based_PDF,percapita_PDF_footprint,percapita_net_trade,Indicator_Name,Indicator_Code,GNI_PPP,GNI_percapita_PPP,Adj_netNationalIncome,Adj_netNationalIncome_percapita,GINI
Paraguay,PRY,6530026,2.545772e-4,1.569566e-4,-9.76205e-5,3.613772e-11,2.228029e-11,-1.385742e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,89805073526.88477,13752.636440786724,33862655389.5176,5185.684618946019,45.7
Brazil,BRA,211782878,0.0078577161,0.0052165751,-0.0026411409,3.723162e-11,2.47173e-11,-1.251431e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3154920115524.248,14896.955529730067,1602259650198.15,7565.57690276619,53.5
Nicaragua,NIC,6663924,2.714716e-4,2.004568e-4,-7.10148e-5,4.147452e-11,3.062511e-11,-1.08494e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,36120924384.62921,5420.368597335326,11023362466.0439,1654.184901575093,NA
Guatemala,GTM,16604026,3.697926e-4,2.100739e-4,-1.597186e-4,2.227126e-11,1.265198e-11,-9.61927e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,147383098889.53293,8876.347151560285,65972365520.6027,3973.275247858724,NA
Cuba,CUB,11316697,9.148986e-4,8.076217e-4,-1.072769e-4,8.072527e-11,7.125978e-11,-9.46548e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,NA,NA,NA,NA,NA
Papua New Guinea,PNG,9542486,0.0016970741,0.0016234893,-7.35848e-5,1.933741e-10,1.8498943e-10,-8.38466e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,37614314914.3864,3941.773130648177,19650048537.666,2059.2169103172905,NA
Turkmenistan,TKM,6158420,1.478732e-4,9.80708e-5,-4.98024e-5,2.488571e-11,1.650442e-11,-8.38128e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,94843834924.99223,15400.67662241163,33554099404.3382,5448.491561851612,NA
Honduras,HND,9958829,2.622122e-4,1.91785e-4,-7.04272e-5,2.690428e-11,1.967809e-11,-7.22618e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,53661323998.96538,5388.316638328199,21818867424.5951,2190.9069253619177,48.2
Central African Republic,CAF,5209324,3.83292e-5,6.1627e-6,-3.21666e-5,8.07751e-12,1.29872e-12,-6.77878e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5026635640.064342,964.9305053907842,1918026098.77956,368.19097809611384,NA
Dominican Republic,DOM,10881882,5.78155e-4,5.076006e-4,-7.05544e-5,5.383716e-11,4.726721e-11,-6.56995e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,196691848156.81232,18075.168261961702,79217838516.6384,7279.792090801793,41.9
Ecuador,ECU,17343740,6.577324e-4,5.479162e-4,-1.098161e-4,3.785803e-11,3.153718e-11,-6.32084e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,199882255337.9569,11524.749295016929,82010491811.2907,4728.535587554396,45.7
Laos,LAO,7212053,1.791261e-4,1.372522e-4,-4.18739e-5,2.498462e-11,1.914402e-11,-5.84059e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,55530353837.81606,7699.659699924011,14191003289.6231,1967.6787302621183,NA
Greece,GRC,10721582,2.480623e-4,1.986775e-4,-4.93849e-5,2.313673e-11,1.853061e-11,-4.60611e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,331036750599.8481,30875.73742381004,172816646320.951,16118.577120517382,33.1
South Africa,ZAF,58087055,0.0013148822,0.0010680485,-2.468337e-4,2.245425e-11,1.823907e-11,-4.21518e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,817853918727.212,14079.796586816323,317415891941.642,5464.485881435064,NA
Peru,PER,32824861,0.0010769661,9.445111e-4,-1.32455e-4,3.312676e-11,2.905252e-11,-4.07422e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,420000696534.9955,12795.201068330358,192887040459.481,5876.248507479772,41.6
Madagascar,MDG,27533134,0.0033539755,0.0032550488,-9.89267e-5,1.2436269e-10,1.2069456e-10,-3.66812e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,43915945483.73337,1595.0216740213216,11593535911.7563,421.07578133881526,NA
Spain,ESP,47134837,0.0010854489,9.179739e-4,-1.674751e-4,2.302859e-11,1.947548e-11,-3.5531e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2035518751264.332,43185.01729971681,1187790958455.05,25199.852891292485,34.3
Malaysia,MYS,32804020,0.0011842316,0.0010801888,-1.040428e-4,3.70654e-11,3.380895e-11,-3.25644e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,921626009055.6146,28094.91059497021,257059110714.374,7836.207596336485,NA
Philippines,PHL,110380804,0.0022606474,0.0019386371,-3.220102e-4,2.090934e-11,1.793098e-11,-2.97836e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1105301765145.0657,10013.532472050718,376376138105.305,3409.797034141054,NA
Cote d'Ivoire,CIV,26147551,1.657196e-4,1.04252e-4,-6.14676e-5,6.44408e-12,4.05388e-12,-2.39019e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,135960423770.87244,5199.738352967452,54376379533.6416,2079.597417503521,NA
Moldova,MDA,2664224,1.12148e-5,5.6955e-6,-5.5193e-6,4.20822e-12,2.13716e-12,-2.07105e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,37343675170.92562,14016.717502329242,11005915938.8223,4131.002475325761,26
Ukraine,UKR,44386203,2.89549e-4,1.986811e-4,-9.08679e-5,6.5234e-12,4.47619e-12,-2.04721e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,567958984674.6417,12795.845246655626,136130825284.797,3066.9626163967437,26.6
Syria,SYR,20098251,1.498308e-4,1.210807e-4,-2.87502e-5,8.77737e-12,7.09313e-12,-1.68423e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,NA,NA,20855825173.7394,1037.6935373003053,NA
Georgia,GEO,3720161,4.14861e-5,3.64647e-5,-5.0214e-6,1.115171e-11,9.80192e-12,-1.34978e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,55540122569.91176,14929.494333689257,14148857742.6081,3803.291777589223,35.9
Romania,ROU,19371648,1.162588e-4,9.20797e-5,-2.4179e-5,6.00149e-12,4.75332e-12,-1.24816e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,631442850327.8285,32596.238086084802,210119904637.035,10846.774865877958,34.8
Chile,CHL,19039485,2.252062e-4,2.018289e-4,-2.33773e-5,1.188296e-11,1.064945e-11,-1.2335e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,469155277565.4977,24641.17477786283,217037331394.788,11399.327838688283,NA
Bolivia,BOL,11777315,7.294586e-4,7.153735e-4,-1.4085e-5,6.335899e-11,6.21356e-11,-1.22339e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,102565612345.55511,8708.743236090324,34601838143.5614,2938.0073593651355,41.6
Indonesia,IDN,269582878,0.0048290382,0.0045210168,-3.080215e-4,1.784398e-11,1.67058e-11,-1.13818e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3230929292244.274,11984.920244987792,888915139181.808,3297.3723916613426,37.6
Liberia,LBR,4985289,3.42262e-5,2.89254e-5,-5.3008e-6,6.93207e-12,5.85846e-12,-1.07361e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6758406605.357952,1355.6699732669365,1753320522.1888,351.6988728614931,NA
Cameroon,CMR,25782341,1.263525e-4,1.006716e-4,-2.56809e-5,4.88293e-12,3.89048e-12,-9.9244e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,98813503340.76582,3832.604003677006,32082428566.4225,1244.3566922965801,NA
Sri Lanka,LKA,21803000,5.328513e-4,5.115277e-4,-2.13236e-5,2.443936e-11,2.346134e-11,-9.7801e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,301384076404.46765,13823.055377905226,75454933329.8231,3460.759222575935,37.7
Mongolia,MNG,3232430,1.395221e-4,1.363726e-4,-3.1495e-6,4.326045e-11,4.22839e-11,-9.7654e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,37332548046.770256,11549.375561658027,10150297075.6777,3140.1444348919235,NA
Sierra Leone,SLE,8046828,2.1249e-5,1.40956e-5,-7.1534e-6,2.71963e-12,1.80407e-12,-9.1554e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13714258176.63347,1704.306116227844,3554818792.74296,441.76646906619106,NA
Equatorial Guinea,GNQ,1553031,1.03235e-5,9.1916e-6,-1.1319e-6,7.6133e-12,6.77857e-12,-8.3473e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19271673467.220867,12409.071980675768,4714808879.73817,3035.875574755539,NA
Thailand,THA,71307763,8.956364e-4,8.407719e-4,-5.48644e-5,1.286361e-11,1.207561e-11,-7.8799e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1288581409510.3242,18070.703038466152,423462767691.579,5938.522677980783,34.9
Cambodia,KHM,16207746,8.5846e-5,7.40012e-5,-1.18449e-5,5.20704e-12,4.48858e-12,-7.1845e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,71070686301.82568,4384.982729975265,22749428250.2872,1403.614558760188,NA
Myanmar,MMR,53040212,2.178927e-4,1.835371e-4,-3.43556e-5,4.03166e-12,3.39597e-12,-6.3568e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,258048860393.69232,4865.155146696856,60441070861.2505,1139.5329803970335,NA
Somalia,SOM,15981300,6.81413e-5,5.94355e-5,-8.7058e-6,4.41247e-12,3.84872e-12,-5.6374e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18858437327.901066,1180.031494803368,3879788653.31437,242.77052888778573,NA
Uganda,UGA,42949080,4.67228e-5,3.35745e-5,-1.31482e-5,1.05541e-12,7.5841e-13,-2.97e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,98124399987.21736,2284.668262677975,29306152472.0728,682.3464547336706,42.7
Tanzania,TZA,59872579,2.616764e-4,2.498996e-4,-1.17769e-5,4.51124e-12,4.3082e-12,-2.0303e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,153446599978.79773,2562.8860914576226,54641779814.0609,912.6344768622861,NA
Mali,MLI,20567424,1.69794e-5,1.34118e-5,-3.5676e-6,8.6374e-13,6.8225e-13,-1.8148e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,45661038951.95362,2220.066010792291,14658522526.0324,712.7058073015074,NA
Ethiopia/DR Ethiopia (1992/1993),ETH,114120594,2.52497e-4,2.387601e-4,-1.37369e-5,2.25285e-12,2.13028e-12,-1.2256e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,257936024325.07535,2260.2057637824364,81877685968.2936,717.4663493978449,NA
Eritrea,ERI,3498818,1.10239e-5,1.08734e-5,-1.505e-7,3.15228e-12,3.10924e-12,-4.303e-14,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,NA,NA,NA,NA,NA
Burundi,BDI,11874838,2.36597e-5,2.37061e-5,4.64e-8,2.05191e-12,2.05593e-12,4.02e-15,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9058044730.466663,762.7931202486016,1910726312.51272,160.90546351139443,NA
Rwanda,RWA,12835028,3.09134e-5,3.13245e-5,4.112e-7,2.44821e-12,2.48077e-12,3.256e-14,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28323945601.12948,2206.7692880085247,8341845966.26987,649.9281471197312,NA
Turkey,TUR,83481684,0.0010124304,0.0010155917,3.1613e-6,1.213515e-11,1.217303e-11,3.789e-14,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2277088844599.713,27276.508276949862,631850929605.443,7568.737228700885,41.9
Burkina Faso,BFA,20951639,1.04404e-5,1.16766e-5,1.2362e-6,5.1377e-13,5.7459e-13,6.083e-14,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,43658153693.599525,2083.758396829934,13670353375.3735,652.4717887404179,NA
Niger,NER,23443393,1.16488e-5,1.33362e-5,1.6875e-6,4.9972e-13,5.721e-13,7.239e-14,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31047827996.729507,1324.3743342411872,12948380509.1762,552.3253613150707,NA
India,IND,1383112050,0.0034745212,0.003612401,1.378798e-4,2.5428e-12,2.6437e-12,1.009e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9448744556227.71,6831.510546255245,2507336797306.21,1812.8226106527015,35
DR Congo,COD,89906890,3.196042e-4,3.294735e-4,9.8694e-6,3.68248e-12,3.79619e-12,1.1371e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,93934103997.67387,1044.7931632122286,41419495906.5423,460.6932339283708,NA
Mexico,MEX,125085311,0.0036862525,0.0037015936,1.53411e-5,2.889467e-11,2.901491e-11,1.2025e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2456002764596.115,19634.621723058393,985354086241.984,7877.456420458387,NA
Togo,TGO,8243094,5.7947e-6,6.86e-6,1.0654e-6,7.1695e-13,8.4876e-13,1.3181e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,17870125695.74968,2167.890563391571,6498386711.3509,788.3431526258101,NA
Chad,TCD,16126866,6.8921e-6,9.7245e-6,2.8324e-6,4.3219e-13,6.098e-13,1.7760999999999999e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,25854763156.005302,1603.2106396869237,8147213441.08338,505.1950850886576,NA
Benin,BEN,12290444,4.1226e-6,6.5059e-6,2.3833e-6,3.4934e-13,5.5129e-13,2.0195e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,40036158144.73648,3257.5029953951607,12674161809.4,1031.2208256593497,NA
Bulgaria,BGR,6975761,3.29646e-5,3.4687e-5,1.7224e-6,4.72559e-12,4.9725e-12,2.4691e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,170622357665.64343,24459.31815405422,57001320707.4907,8171.340833995129,40.3
Malawi,MWI,18867337,1.99152e-5,2.47888e-5,4.8736e-6,1.06906e-12,1.33067e-12,2.6161e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29181830934.475,1546.6852017576725,9623854586.5223,510.0801764722971,38.5
Croatia,HRV,4065253,2.62342e-5,2.73887e-5,1.1544e-6,6.45328e-12,6.73726e-12,2.8397e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,128520995928.18732,31614.513519376855,51948450710.7219,12778.651343648698,28.9
Sudan/North Sudan (2010/2011),SDN,43232093,3.39186e-5,4.61388e-5,1.22202e-5,7.9225e-13,1.07767e-12,2.8543e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,176930479723.97333,4092.5726109067477,21581597654.1219,499.2031649756559,NA
Afghanistan,AFG,37769499,9.7058e-5,1.080222e-4,1.09642e-5,2.55135e-12,2.83956e-12,2.8821e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,83191120760.82492,2202.6005894551295,17645416937.3793,467.1869472607857,NA
Haiti,HTI,11160438,2.875566e-4,2.908855e-4,3.3289e-6,2.553091e-11,2.582646e-11,2.9555e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,36327453896.932365,3255.0204478473306,13944784800.7346,1249.4836493634568,NA
North Korea,PRK,25755441,2.11711e-5,2.87667e-5,7.5955e-6,8.2486e-13,1.1208e-12,2.9593e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,NA,NA,NA,NA,NA
Guinea,GIN,12877539,2.55517e-5,2.9333e-5,3.7813e-6,2.00072e-12,2.29679e-12,2.9607e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32701274014.06547,2539.4039974614307,10949182418.568,850.2542619803365,NA
Kenya,KEN,50951450,1.021151e-4,1.184726e-4,1.63576e-5,1.94231e-12,2.25344e-12,3.1113e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,240474148155.87085,4719.672318567398,82239142552.8551,1614.068737059595,NA
Tajikistan,TJK,9337003,4.03721e-5,4.37485e-5,3.3763e-6,4.3313e-12,4.69352e-12,3.6222e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,40375741625.264565,4324.27210586358,8287121658.64973,887.556923634889,NA
Pakistan,PAK,223293280,1.104653e-4,1.933574e-4,8.28921e-5,5.1008e-13,8.9283e-13,3.8275e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1179501703984.1155,5282.2982580761745,257194151061.062,1151.822173336618,NA
Ghana,GHA,31522290,1.138386e-4,1.256653e-4,1.18267e-5,3.74249e-12,4.1313e-12,3.888e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,168439527387.3363,5343.505417510476,52946920254.9233,1679.6660475785009,NA
Nepal,NPL,28832496,1.308966e-4,1.442342e-4,1.3337600000000001e-05,4.57541e-12,5.04161e-12,4.662e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,119098699250.78052,4130.710683208991,32134548983.4223,1114.5253946596333,NA
Gambia,GMB,2508883,1.1306e-6,2.2407e-6,1.1101e-6,4.816e-13,9.5444e-13,4.7284e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5358326266.560291,2135.741788899798,1387800886.62195,553.1548847124197,NA
Zambia,ZMB,18380477,3.88247e-5,4.73019e-5,8.4773e-6,2.17371e-12,2.64833e-12,4.7462e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,63492882556.90543,3454.3653332231493,18199054682.5433,990.129618646094,NA
Nigeria,NGA,203304492,7.23102e-5,1.777186e-4,1.054084e-4,3.5982e-13,8.8433e-13,5.2451e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1040597740019.16,5118.419813464623,368647910872.857,1813.2797128400734,NA
Bosnia and Herzegovina,BIH,3360711,2.4253e-5,2.604e-5,1.7869e-6,7.34718e-12,7.88851e-12,5.4133e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,54078907873.15198,16091.507979457912,16925594292.7621,5036.313533880807,NA
Azerbaijan,AZE,10024283,1.11702e-4,1.182862e-4,6.5842e-6,1.114314e-11,1.179996e-11,6.5682e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,145097815681.85678,14474.63281731539,36150816053.3299,3606.3243678704903,NA
Slovakia,SVK,5454147,2.64053e-5,3.00441e-5,3.6388e-6,4.84133e-12,5.50848e-12,6.6715e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,178096322732.3573,32653.377830182668,85240883221.1219,15628.636929133356,23.2
Senegal,SEN,16000781,7.7331e-6,1.99394e-5,1.22062e-5,4.7453e-13,1.22354e-12,7.4901e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,55726141751.649605,3482.713859507833,20176111687.0327,1260.9454305407155,NA
Belarus,BLR,9419758,2.86847e-5,3.59371e-5,7.2524e-6,3.04516e-12,3.81508e-12,7.6991e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,183895160632.57788,19522.28078816652,53025555442.3388,5629.184469743151,25.3
Bangladesh,BGD,165516222,2.438962e-4,3.720845e-4,1.281883e-4,1.49587e-12,2.28208e-12,7.862e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,981928372127.5084,5932.520451847363,312361096812.876,1887.1932493292168,NA
Macedonia,MKD,2076694,1.51166e-5,1.675e-5,1.6333e-6,7.27919e-12,8.06569e-12,7.865e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,35669944090.09852,17176.312008460813,10185487759.6715,4904.664702489389,33.5
Mozambique,MOZ,30285595,8.89409e-5,1.133889e-4,2.4448e-5,2.92896e-12,3.73406e-12,8.0511e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,39839588932.19412,1315.4633063076396,11668015390.388,385.26617655647846,50.5
Kyrgyzstan,KGZ,6456200,8.51778e-5,9.13275e-5,6.1497e-6,1.319318e-11,1.41457e-11,9.5252e-13,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32280022514.10249,4999.848597333182,6423165037.30832,994.8832188142127,29.7
Albania,ALB,2854191,3.75116e-5,4.06775e-5,3.1659e-6,1.314263e-11,1.425185e-11,1.10922e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,40583373124.0538,14218.870819806314,12379000501.4942,4337.131082500856,30.1
Morocco,MAR,36304408,1.199646e-4,1.654793e-4,4.55147e-5,3.28925e-12,4.53719e-12,1.24794e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,310901208932.9315,8563.73168054225,105361848651.476,2902.17784714947,NA
Hungary,HUN,9771141,2.6568e-5,3.87712e-5,1.22032e-5,2.71903e-12,3.96792e-12,1.24889e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,329596909965.01715,33731.67063754552,132628705691.376,13573.512621645314,30
Yemen Arab Republic/Yemen (1990/1991),YEM,31546691,6.39112e-5,1.003846e-4,3.64734e-5,2.1916e-12,3.44231e-12,1.25072e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,NA,NA,NA,NA,NA
USSR/Russian Federation (1990/1991),RUS,144406261,3.15895e-4,5.071765e-4,1.912815e-4,2.18754e-12,3.51215e-12,1.3246e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4273387015415.451,29592.809798014583,1280764520745.96,8869.17583681472,37.7
Angola,AGO,32353588,7.26604e-5,1.208148e-4,4.81543e-5,2.2831e-12,3.79618e-12,1.51308e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,202535400692.31152,6260.059956636387,56232452982.204,1738.0592527235,NA
Tunisia,TUN,12049314,4.40299e-5,6.27223e-5,1.86924e-5,3.76494e-12,5.36329e-12,1.59836e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,135954521790.57674,11283.175273760542,38979846969.8888,3235.026240488778,NA
Zimbabwe,ZWE,15354608,1.36655e-5,3.71818e-5,2.35163e-5,9.3309e-13,2.53879e-12,1.6057e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,34710829852.339554,2260.6132212779094,16192994864.0317,1054.6016455797308,50.3
Mauritania,MRT,4383849,3.2952e-6,1.08998e-5,7.6046e-6,7.2811e-13,2.40842e-12,1.68031e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,24859406591.406372,5670.680397843624,7088158821.87541,1616.8802396878657,NA
Egypt,EGY,105618671,2.8497e-6,1.723031e-4,1.694534e-4,2.839e-14,1.71637e-12,1.68798e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1252250922533.6565,11856.340462129621,262394976331.958,2484.3616554497075,31.9
Poland,POL,37965475,7.69656e-5,1.479138e-4,7.09482e-5,2.02725e-12,3.896e-12,1.86875e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1272412042369.3596,33514.97755182464,504704670723.198,13293.779959902991,28.8
Iraq,IRQ,41563520,1.81262e-5,1.079052e-4,8.9779e-5,4.6111e-13,2.74499e-12,2.28388e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,444003659901.53674,10682.532660889567,178952656565.981,4305.5221638104995,NA
Armenia,ARM,2820602,2.9968e-5,3.68626e-5,6.8946e-6,1.013212e-11,1.246314e-11,2.33103e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,42652316566.72784,15121.706843690758,11892705734.2577,4216.371446328727,30
Latvia,LVA,1913822,4.1159e-6,8.6023e-6,4.4863e-6,2.15064e-12,4.4948e-12,2.34416e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,62103082428.14652,32449.76932449649,26449289133.6321,13820.140605360424,34.5
China,CHN,1407745000,0.0047240633,0.0080306702,0.0033066069,3.35424e-12,5.70204e-12,2.3478e-12,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,23380863059847.367,16608.734578952415,10622646613018.9,7545.85994837055,38.2
